City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,kampene,-3.6,26.6667,20.83,95,96,0.65,CD,1695099956
161,necocli,8.4234,-76.786,24.42,95,100,3.38,CO,1695099957
162,namtsy,62.7161,129.6658,6.3,48,36,5.37,RU,1695099957
163,cacapava do sul,-30.5122,-53.4914,13.25,98,100,4.49,BR,1695099846
164,santa marta,11.2408,-74.199,28.83,73,40,2.24,CO,1695099957
165,tanaina,61.6269,-149.4281,7.91,91,75,0.45,US,1695099958
166,red hill,33.9996,-79.2581,17.73,63,0,2.32,US,1695099958
167,humberto de campos,-2.5983,-43.4611,24.12,90,12,2.31,BR,1695099958
168,yellowknife,62.456,-114.3525,11.9,93,100,2.06,CA,1695099958
169,praia da vitoria,38.7333,-27.0667,20.98,88,20,4.05,PT,1695099959
170,makubetsu,45.3714,141.8211,22.12,100,75,7.15,JP,1695099959
171,montepuez,-13.1256,38.9997,22.53,65,0,1.93,MZ,1695099959
172,taro,-8.3862,115.28,25.0,55,48,2.4,ID,1695099959
173,glace bay,46.1969,-59.957,16.23,97,100,3.09,CA,1695099960
174,sol'tsy,58.1239,30.3238,13.72,84,97,3.14,RU,1695099960
175,luang namtha,20.9497,101.4011,28.01,74,100,1.03,LA,1695099960
176,longyearbyen,78.2186,15.6401,-2.09,74,75,1.54,SJ,1695099796
177,bang saphan,11.2126,99.5117,33.31,52,73,1.85,TH,1695099960
178,saint-philippe,-21.3585,55.7679,24.77,77,39,5.83,RE,1695099961
179,capayan,-28.761,-66.0502,11.99,48,0,2.11,AR,1695099961
180,labuan,5.2767,115.2417,29.2,74,20,1.03,MY,1695099961
181,omaruru,-21.4333,15.9333,14.2,36,49,1.35,NA,1695099961
182,san patricio,28.017,-97.5169,29.36,61,0,4.1,US,1695099962
183,egilsstadir,65.2653,-14.3948,6.95,93,100,6.17,IS,1695099797
184,luanda,-8.8368,13.2343,21.0,94,20,1.03,AO,1695099808
185,sao jose da coroa grande,-8.8978,-35.1478,23.52,89,22,3.97,BR,1695099962
186,fort mcmurray,56.7268,-111.381,10.77,66,0,4.63,CA,1695099963
187,vetluzhskiy,58.3902,45.4654,8.47,71,45,1.53,RU,1695099963
188,sol'-iletsk,51.1631,54.9918,15.94,58,46,0.96,RU,1695099963
189,chapada dos guimaraes,-15.4606,-55.7497,19.81,51,16,1.18,BR,1695099963
190,solnechnyy,50.7214,136.6319,7.26,95,100,3.72,RU,1695099964
191,nagqu,31.5,92.0,6.8,78,97,0.65,CN,1695099964
192,chibougamau,49.9168,-74.3659,6.79,93,0,3.09,CA,1695099737
193,codajas,-3.8367,-62.0569,27.65,41,24,1.45,BR,1695099964
194,magadan,59.5667,150.8,7.52,64,100,1.48,RU,1695099964
195,ugoofaaru,5.6667,73.0,27.19,79,99,7.08,MV,1695099965
196,haiku-pauwela,20.9219,-156.3051,25.02,70,0,8.75,US,1695099965
197,coronel dorrego,-38.7187,-61.2873,3.93,90,79,3.68,AR,1695099965
198,axim,4.8699,-2.2405,23.58,94,32,1.52,GH,1695099965
199,krutinka,56.0055,71.5113,17.0,52,35,2.86,RU,1695099966
200,puerto baquerizo moreno,-0.9,-89.6,22.58,90,26,4.1,EC,1695099770
201,el nido,11.1858,119.3956,29.82,70,48,2.82,PH,1695099966
202,lethem,3.3803,-59.7968,26.65,61,28,3.2,GY,1695099966
203,shelby,35.2001,-89.8668,17.25,88,0,0.0,US,1695099967
204,mumford,5.2618,-0.759,23.26,95,55,2.61,GH,1695099967
205,chernyshevsk,52.5243,117.0174,13.4,32,31,1.3,RU,1695099967
206,salalah,17.0151,54.0924,27.07,89,100,2.99,OM,1695099967
207,laranjeiras do sul,-25.4078,-52.4161,16.81,92,68,1.43,BR,1695099954
208,toliara,-23.35,43.6667,24.68,59,0,4.76,MG,1695099817
209,zhangye,38.9342,100.4517,22.95,22,18,3.61,CN,1695099968
210,mae hong son,19.3003,97.9685,28.08,78,75,1.54,TH,1695099969
211,kone,-21.0595,164.8658,25.25,65,34,3.63,NC,1695099969
212,tokar,18.4254,37.729,34.67,31,61,5.3,SD,1695099969
213,tsawwassen,49.018,-123.0817,13.9,76,82,3.66,CA,1695099969
214,egersund,58.4513,5.9997,11.72,79,100,5.76,NO,1695099827
215,arkhangel'sk,64.5401,40.5433,5.83,75,82,3.36,RU,1695099902
216,newman,37.3138,-121.0208,22.13,69,2,0.89,US,1695099970
217,mahibadhoo,3.7833,72.9667,26.45,80,100,4.58,MV,1695099970
218,puerto ayora,-0.7393,-90.3518,23.64,97,32,1.34,EC,1695099922
